level,observe_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm511_1,55,3,18.333333333333332,3.7138702707476874,9.0,23.0
sm321_2,35,2,17.5,5.263314305404673,10.0,25.0
sm421_2,33,2,16.5,1.0277402395547233,15.0,18.0
sm311_1,46,3,15.333333333333334,5.512422740604879,8.0,29.0
sm511_2,54,4,13.5,3.240810678496023,7.0,20.5
sm541_1,87,7,12.428571428571429,2.1388621848383416,7.857142857142857,15.714285714285714
sm411_1,62,5,12.4,2.2234899927248937,7.6,16.6
sm361_1,37,3,12.333333333333334,1.5001040263487213,10.0,16.0
sm541_2,24,2,12.0,0.0,12.0,12.0
sm521_2,36,3,12.0,0.0,12.0,12.0
sm111_1,201,17,11.823529411764707,3.036966761142564,6.176470588235294,17.94264705882353
sm612_1,59,5,11.8,0.9934305936220931,9.8,13.6
sm521_1,46,4,11.5,4.54963076964935,2.5,20.5
sm432_2,33,3,11.0,4.50082872780278,0.0,17.0
sm112_1,184,17,10.823529411764707,2.5181667931072282,6.176470588235294,16.11911764705882
sm351_1,20,2,10.0,0.0,10.0,10.0
sm361_2,20,2,10.0,0.0,10.0,10.0
sm341_1,35,4,8.75,2.566148840162992,2.75,12.5
sm611_1,17,2,8.5,0.3559416306705981,8.0,9.0
sm321_1,58,7,8.285714285714286,2.2326566404266885,3.5714285714285716,12.428571428571429
sm311_2,33,4,8.25,5.093780132036868,0.0,18.75
sm341_2,49,6,8.166666666666666,1.7092500490491787,4.666666666666667,11.166666666666666
sm331_2,40,5,8.0,2.3633602161988576,3.4,12.4
sm611_2,36,5,7.2,1.6842605777294954,3.2,10.4
sm431_2,14,2,7.0,0.6974829621449419,6.0,8.0
sm432_1,47,7,6.714285714285714,1.6652643729938423,3.4285714285714284,9.857142857142858
sm421_1,38,6,6.333333333333333,1.8943440921700418,2.6666666666666665,9.666666666666666
sm351_2,37,6,6.166666666666667,1.7569783960525258,3.0,9.333333333333334
sm331_1,36,6,6.0,2.954257163042071,1.0,12.0
sm531_1,24,4,6.0,1.7573742812401587,2.0,8.0
sm211_1,29,5,5.8,2.6384008260533345,1.8,11.6
sm612_2,28,5,5.6,3.1846629457570668,0.0,12.4
sm211_2,11,2,5.5,0.35781004461589394,5.0,6.0
sm531_2,31,6,5.166666666666667,1.7165337616317042,2.0,8.5
sm221_2,14,3,4.666666666666667,0.537711426345458,4.0,6.0
sm411_2,20,5,4.0,2.269794335689101,0.0,8.2
sm431_1,18,5,3.6,1.337888614925004,1.2,6.0
sm543_1,18,6,3.0,2.7409326353837504,0.0,9.0
sm371_1,14,5,2.8,2.5369482348574532,0.0,8.4
sm221_1,4,4,1.0,0.501409175385893,0.0,2.0
comprehension_check,0,17,0.0,0.0,0.0,0.0
sm543_2,0,5,0.0,0.0,0.0,0.0
experiment,0,17,0.0,0.0,0.0,0.0
s111_1,0,17,0.0,0.0,0.0,0.0
sm371_2,0,5,0.0,0.0,0.0,0.0
