file,level,observe_count,activation_count,mean_observe_per_activation
u1769717387246.csv,comprehension_check,0,1,0.0
u1769717387246.csv,experiment,0,1,0.0
u1769717387246.csv,s111_1,0,1,0.0
u1769717387246.csv,sm111_1,0,1,0.0
u1769717387246.csv,sm112_1,0,1,0.0
u1769717387246.csv,sm211_1,0,1,0.0
u1769717387246.csv,sm321_1,0,1,0.0
u1769717387246.csv,sm331_1,0,1,0.0
u1769717387246.csv,sm341_2,0,1,0.0
u1769717387246.csv,sm351_2,0,1,0.0
u1769717387246.csv,sm411_2,0,1,0.0
u1769717387246.csv,sm421_1,0,1,0.0
u1769717387246.csv,sm432_1,0,1,0.0
u1769717387246.csv,sm543_1,0,1,0.0
u1769717387246.csv,sm612_2,0,1,0.0
u1769715123086.csv,comprehension_check,0,1,0.0
u1769715123086.csv,experiment,0,1,0.0
u1769715123086.csv,s111_1,0,1,0.0
u1769715123086.csv,sm111_1,15,1,15.0
u1769715123086.csv,sm112_1,18,1,18.0
u1769715123086.csv,sm311_1,9,1,9.0
u1769715123086.csv,sm321_1,9,1,9.0
u1769715123086.csv,sm331_2,11,1,11.0
u1769715123086.csv,sm351_2,9,1,9.0
u1769715123086.csv,sm411_1,13,1,13.0
u1769715123086.csv,sm421_1,10,1,10.0
u1769715123086.csv,sm432_1,11,1,11.0
u1769715123086.csv,sm531_1,8,1,8.0
u1769715123086.csv,sm541_1,16,1,16.0
u1769715123086.csv,sm612_1,14,1,14.0
u1769714803098.csv,comprehension_check,0,1,0.0
u1769714803098.csv,experiment,0,1,0.0
u1769714803098.csv,s111_1,0,1,0.0
u1769714803098.csv,sm111_1,27,1,27.0
u1769714803098.csv,sm112_1,25,1,25.0
u1769714803098.csv,sm221_1,0,1,0.0
u1769714803098.csv,sm311_2,25,1,25.0
u1769714803098.csv,sm321_2,25,1,25.0
u1769714803098.csv,sm331_1,0,1,0.0
u1769714803098.csv,sm371_2,0,1,0.0
u1769714803098.csv,sm411_2,0,1,0.0
u1769714803098.csv,sm431_1,0,1,0.0
u1769714803098.csv,sm531_2,0,1,0.0
u1769714803098.csv,sm543_2,0,1,0.0
u1769714803098.csv,sm612_2,0,1,0.0
u1769713777399.csv,comprehension_check,0,1,0.0
u1769713777399.csv,experiment,0,1,0.0
u1769713777399.csv,s111_1,0,1,0.0
u1769713777399.csv,sm111_1,0,1,0.0
u1769713777399.csv,sm112_1,2,1,2.0
