file,level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation
u1769722419609.csv,comprehension_check,0,0,0,1,0.0
u1769722419609.csv,experiment,0,0,0,1,0.0
u1769722419609.csv,s111_1,0,0,0,1,0.0
u1769722419609.csv,sm111_1,24,24,0,1,24.0
u1769722419609.csv,sm112_1,19,3,16,1,19.0
u1769722419609.csv,sm221_1,2,0,2,1,2.0
u1769722419609.csv,sm311_2,9,0,9,1,9.0
u1769722419609.csv,sm371_2,0,0,0,1,0.0
u1769722419609.csv,sm431_1,6,6,0,1,6.0
u1769722419609.csv,sm511_2,14,14,0,1,14.0
u1769722419609.csv,sm521_1,19,0,19,1,19.0
u1769722419609.csv,sm531_2,11,0,11,1,11.0
u1769722419609.csv,sm541_1,12,0,12,1,12.0
u1769722419609.csv,sm543_2,0,0,0,1,0.0
u1769722419609.csv,sm611_2,8,0,8,1,8.0
u1770138243344.csv,comprehension_check,0,0,0,1,0.0
u1770138243344.csv,experiment,0,0,0,1,0.0
u1770138243344.csv,s111_1,0,0,0,1,0.0
u1770138243344.csv,sm111_1,1,1,0,1,1.0
u1770138243344.csv,sm112_1,14,1,13,1,14.0
u1770138243344.csv,sm221_1,6,0,6,1,6.0
u1770138243344.csv,sm311_2,3,3,0,1,3.0
u1770138243344.csv,sm321_2,18,0,18,1,18.0
u1770138243344.csv,sm331_1,7,0,7,1,7.0
u1770138243344.csv,sm371_2,0,0,0,1,0.0
u1770138243344.csv,sm411_2,5,5,0,1,5.0
u1770138243344.csv,sm431_1,6,6,0,1,6.0
u1770138243344.csv,sm531_2,9,1,8,1,9.0
u1770138243344.csv,sm543_2,0,0,0,1,0.0
u1770138243344.csv,sm612_2,13,2,11,1,13.0
u1769717387246.csv,comprehension_check,0,0,0,1,0.0
u1769717387246.csv,experiment,0,0,0,1,0.0
u1769717387246.csv,s111_1,0,0,0,1,0.0
u1769717387246.csv,sm111_1,0,0,0,1,0.0
u1769717387246.csv,sm112_1,0,0,0,1,0.0
u1769717387246.csv,sm211_1,0,0,0,1,0.0
u1769717387246.csv,sm321_1,0,0,0,1,0.0
u1769717387246.csv,sm331_1,0,0,0,1,0.0
u1769717387246.csv,sm341_2,0,0,0,1,0.0
u1769717387246.csv,sm351_2,0,0,0,1,0.0
u1769717387246.csv,sm411_2,0,0,0,1,0.0
u1769717387246.csv,sm421_1,0,0,0,1,0.0
u1769717387246.csv,sm432_1,0,0,0,1,0.0
u1769717387246.csv,sm543_1,0,0,0,1,0.0
u1769717387246.csv,sm612_2,0,0,0,1,0.0
u1770140090938.csv,comprehension_check,0,0,0,1,0.0
u1770140090938.csv,experiment,0,0,0,1,0.0
u1770140090938.csv,s111_1,0,0,0,1,0.0
u1770140090938.csv,sm111_1,12,0,12,1,12.0
u1770140090938.csv,sm112_1,14,1,13,1,14.0
u1770140090938.csv,sm211_2,5,0,5,1,5.0
u1770140090938.csv,sm341_2,4,0,4,1,4.0
u1770140090938.csv,sm351_1,12,0,12,1,12.0
