Session ID,u1763662309390
Completed At,2025-11-20 18:28:44.986Z
Created At,2025-11-20 18:11:49.390Z

User Data
prolificId,565e0169998e44000a4bdab1
age,44
gender,male
feedback,I don't think there was any reason to study the labyrinth before each trial
timestamp,1763663333456

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:16:03.200Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:28:14.984Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:11:49.695Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:17:38.266Z,GAME_ACTION,right,5.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:38.729Z,GAME_ACTION,right,6.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:39.253Z,GAME_ACTION,right,7.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:39.900Z,GAME_ACTION,right,8.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:39.900Z,INTERACTION,,8.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,wizard_interaction,blueAmulet
2025-11-20 18:17:41.604Z,GAME_ACTION,left,8.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:42.121Z,GAME_ACTION,left,7.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:42.560Z,GAME_ACTION,left,6.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:43.656Z,GAME_ACTION,down,5.0,5.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:44.110Z,GAME_ACTION,down,5.0,6.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:45.428Z,GAME_ACTION,down,5.0,7.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:45.884Z,GAME_ACTION,down,5.0,8.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:46.745Z,GAME_ACTION,right,5.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:47.222Z,GAME_ACTION,right,6.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:47.693Z,GAME_ACTION,right,7.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:48.493Z,GAME_ACTION,right,8.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:48.493Z,INTERACTION,,8.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,treasure_interaction,B
2025-11-20 18:17:48.493Z,LEVEL_COMPLETE,,8.0,9.0,,7.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 18:17:51.510Z,LEVEL_COMPLETE,,8.0,9.0,,7.0,5.0,5.0,11.0,-15.0,experienced1,,experienced1,,,

Level: sm112_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 18:17:51.643Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 18:17:51.686Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 18:18:11.662Z,GAME_ACTION,down,5.0,7.0,,,,,,,,,,,,
2025-11-20 18:18:12.094Z,GAME_ACTION,down,5.0,8.0,,,,,,,,,,,,
2025-11-20 18:18:13.178Z,GAME_ACTION,left,5.0,9.0,,,,,,,,,,,,
2025-11-20 18:18:13.574Z,GAME_ACTION,left,4.0,9.0,,,,,,,,,,,,
2025-11-20 18:18:14.017Z,GAME_ACTION,left,3.0,9.0,,,,,,,,,,,,
