Session ID,u1760985153602
Completed At,2025-10-20 18:33:03.689Z
Created At,2025-10-20 18:32:33.602Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:32:33.687Z,LEVEL_START,,,,,,,,,,
2025-10-20 18:32:33.732Z,LEVEL_START,,,,,,,,,,

Level: s211
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:32:44.841Z,LEVEL_START,,,,,,,,,,

Level: s221
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:32:54.407Z,LEVEL_START,,,,,,,,,,

