pid,amount
60ef44f89b4d67be02d8eca9,1.0
67ebc24ee98e314102e23f1a,0.0
6724260700cede758eb0c062,0.96
55c2910dfdf99b5e72c6efcf,0.8
5685850c333cbd000d4e042f,1.0
63ed1fa5c88ecae92bf0c920,1.0
5d42486206811e001ada5b4b,1.0
63d7b81d79044b73bfb50952,0.68
607668ac450fc6e3025a131d,1.0
5cbcfce214b3cb0015f03471,0.07
