Experiment: exp4
Model: FM (full_model)

Level            H2_mean  H2_med    M2  H3_mean  H3_med    M3  Step_T  H_step_med  NonObs_total   n
---------------  -------  ------  ----  -------  ------  ----  ------  ----------  ------------  --
sm211_scenario1      1.3     0.0   0.0      5.5     5.0   6.0     6.0        47.0          42.0  14
sm211_scenario2      2.1     0.0   0.0      4.1     5.0   6.0     6.0        46.0          42.0  17
sm221_scenario1      1.3     0.0   0.0      2.6     3.0   6.0     6.0        34.5          35.0  15
sm221_scenario2      1.3     0.0   0.0      4.4     3.0   6.0     6.0        33.0          35.0  11
sm311_scenario1      1.7     1.0   1.0      6.6     8.0   9.0    10.0        51.0          41.0  17
sm311_scenario2      2.7     3.0   3.0      2.7     0.0   0.0     3.0        45.5          41.0  15
sm321_scenario1      0.1     0.0   0.0      7.3     9.0  10.0    10.0        53.0          51.0  23
sm321_scenario2      0.4     0.0   0.0      7.9     9.0  10.0    10.0        53.0          51.0  15
sm331_scenario1      0.2     0.0   0.0      6.1     7.0   6.0     6.0        30.0          34.0  21
sm331_scenario2      1.2     0.0   0.0      4.8     5.0   6.0     6.0        30.0          34.0  23
sm341_scenario1      1.2     1.0   1.0      9.3    11.0  12.0    13.0        39.0          28.0  18
sm341_scenario2      3.7     3.0   8.0      4.3     4.0   0.0     8.0        35.0          28.0  23
sm351_scenario1      1.5     0.0   0.0      6.6     9.0  10.0    10.0        46.0          38.0  17
sm351_scenario2      1.9     0.0   0.0      6.4     9.0  10.0    10.0        46.0          38.0  25
sm361_scenario1      1.9     1.0   1.0      9.2    10.0  11.0    12.0        36.0          31.0  16
sm361_scenario2      4.3     4.5   4.0      0.9     0.0   0.0     4.0        29.0          31.0  12
sm371_scenario1      2.9     0.0   0.0      0.0     0.0   0.0     0.0        19.0          19.0  16
sm371_scenario2      0.2     0.0   0.0      0.9     0.0   0.0     0.0        19.0          19.0  22
sm411_scenario1      2.0     1.0   1.0     11.4    13.0  14.0    15.0        56.0          60.0  20
sm411_scenario2      4.4     5.0   5.0      2.5     0.0   0.0     5.0        47.0          60.0  23
sm421_scenario1      8.3     8.0   8.0      2.7     0.0   0.0     8.0        55.0          57.0  25
sm421_scenario2      3.8     1.0   1.0      9.8    14.0  15.0    16.0        62.0          57.0  17
sm431_scenario1      4.9     6.0   6.0      1.7     0.0   0.0     6.0        42.0          37.0  22
sm431_scenario2      0.7     1.0   1.0      6.4     9.0  10.0    11.0        46.0          37.0  17
sm432_scenario1      0.0     0.0   0.0      7.9     9.0  10.0    10.0        46.0          38.0  23
sm432_scenario2      0.2     0.0   0.0      9.5     9.0  10.0    10.0        46.5          38.0  11
sm511_scenario1      1.8     1.0   1.0     19.6    22.0  23.0    24.0        63.0          46.0  16
sm511_scenario2      9.8    13.0  13.0      3.7     0.0   0.0    13.0        53.0          46.0  12
sm521_scenario1      1.2     1.0   1.0     15.8    19.0  20.0    21.0        67.5          60.0  12
sm521_scenario2      8.2    10.0  10.0      2.2     0.0   0.0    10.0        57.0          60.0  16
sm531_scenario1      2.1     3.0   3.0      2.0     0.0   0.0     3.0        30.0          39.0  24
sm531_scenario2      0.7     1.0   1.0      6.6     8.0   9.0    10.0        36.0          39.0  20
sm541_scenario1      2.9     5.0   5.0      3.4     0.0   0.0     5.0        37.0          32.0  22
sm541_scenario2      0.6     1.0   1.0     10.9    12.0  13.0    14.0        46.0          32.0  12
sm543_scenario1      2.3     0.0   0.0      0.4     0.0   0.0     0.0        19.0          19.0  23
sm543_scenario2      0.5     0.0   0.0      0.1     0.0   0.0     0.0        19.0          19.0  22
sm611_scenario1      2.9     2.0   2.0      1.2     0.0   0.0     2.0        29.0          28.0  17
sm611_scenario2      0.5     1.0   1.0      8.8    10.0   9.0    10.0        37.0          28.0  13
sm612_scenario1      1.4     2.0   2.0      3.9     0.0   0.0     2.0        32.0          45.0  20
sm612_scenario2      1.3     1.0   1.0      9.6    11.0  12.0    13.0        42.0          45.0  23
