612bb0cdecc9e45781bbf511,0.38
65da5ea53cf757c346ee5b18,0.64
6653b7079f37e7ce5378b3dc,0.00
60a2a8570a0f9cc00d6b9d1a,0.00
64010f32f8dee9772983c7cd,0.64
5caf7f17a85c43001737b4b3,0.00
6174b049932ee98236563b51,0.00
67363452674f3db8059e7888,0.58
5e7072e5fb136c63e94f3fa4,0.00
67901f88600a4a86b07e5d99,0.00
67ee6f72aa206db46d5e9d11,0.00
5c1c2c51e2d9150001b5737e,0.00
5685850c333cbd000d4e042f,0.64
6148f3d1074988c7852c1774,0.00
55d35447da14d7000e95318f,0.00
5fc3d41149c0c8728f07b95b,0.06
5ac440da9534ba0001c736da,0.64
66d0e8813c0a69291c362cba,0.00
6965bc77aa20e8694a8b8e4c,0.00
674f22af21d6a0d92c657422,0.00
6272b9dfc470a51d5fa0e6ea,0.00
6654b7668e8642303bbc2fa7,0.30
5b9dd07de671c60001226b79,0.80
66f878234e0e0f8629c315c0,0.00
62bd2a704c56e669cce7ce56,0.00
60a9b8f7b9748b9999090dd8,1.00
66df530525ff636218e380bf,0.46
676c9d1a76e650632accd4f7,0.60
696003f9b6ac164d5a0e51f9,1.00
6942f32ddfdc9e594f10ab59,0.48
660480647ac06fc541cfda59,0.00
5c309bb410677f0001dda0ed,0.00
