level,model_agent2,human_agent2_mean,human_agent2_sd,error_agent2,model_agent3,human_agent3_mean,human_agent3_sd,error_agent3,error_total,n_participants
sm211_1,0,1.6,3.577708763999664,1.6,6,4.2,3.420526275297414,1.7999999999999998,0.1999999999999993,5
sm211_2,0,0.5,0.7071067811865476,0.5,6,5.0,0.0,1.0,0.5,2
sm221_1,10,0.25,0.5,9.75,1,0.75,0.9574271077563381,0.25,10.0,4
sm221_2,1,0.6666666666666666,1.1547005383792517,0.33333333333333337,5,4.0,0.0,1.0,1.333333333333333,3
sm311_1,0,9.666666666666666,10.016652800877813,9.666666666666666,9,5.666666666666667,4.932882862316247,3.333333333333333,6.333333333333332,3
sm311_2,0,0.0,0.0,0.0,9,8.25,11.786291472158096,0.75,0.75,4
sm321_1,0,5.428571428571429,6.7788185513687385,5.428571428571429,10,2.857142857142857,3.8483144114694956,7.142857142857142,1.7142857142857135,7
sm321_2,0,0.5,0.7071067811865476,0.5,10,17.0,11.313708498984761,7.0,7.5,2
sm331_1,0,2.1666666666666665,4.833908011812665,2.1666666666666665,6,3.8333333333333335,4.445971959725642,2.1666666666666665,0.0,6
sm331_2,0,4.0,6.928203230275509,4.0,6,4.0,3.6742346141747673,2.0,2.0,5
sm341_1,0,0.75,1.5,0.75,12,8.0,5.354126134736337,4.0,3.25,4
sm341_2,0,3.5,5.648008498577175,3.5,12,4.666666666666667,5.428320796219276,7.333333333333333,3.833333333333332,6
sm351_1,0,0.0,0.0,0.0,10,10.0,0.0,0.0,0.0,2
sm351_2,0,0.0,0.0,0.0,10,6.166666666666667,4.792355023020171,3.833333333333333,3.833333333333333,6
sm361_1,0,2.0,2.6457513110645907,2.0,11,10.333333333333334,0.5773502691896257,0.6666666666666661,1.333333333333334,3
sm361_2,0,0.0,0.0,0.0,11,10.0,0.0,1.0,1.0,2
sm371_1,0,2.8,6.260990336999411,2.8,0,0.0,0.0,0.0,2.8,5
sm371_2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5
sm411_1,1,2.4,3.5777087639996634,1.4,13,10.0,5.656854249492381,3.0,1.5999999999999996,5
sm411_2,7,1.4,3.1304951684997055,5.6,0,2.6,5.813776741499454,2.6,3.0,5
sm421_1,10,4.833333333333333,4.9966655548141965,5.166666666666667,0,1.5,3.6742346141747673,1.5,3.666666666666667,6
sm421_2,1,2.0,1.4142135623730951,1.0,14,14.5,0.7071067811865476,0.5,1.5,2
sm431_1,6,3.6,3.2863353450309964,2.4,0,0.0,0.0,0.0,2.4,5
sm431_2,6,7.0,1.4142135623730951,1.0,0,0.0,0.0,0.0,1.0,2
sm432_1,0,0.0,0.0,0.0,10,6.714285714285714,4.7509397566616824,3.2857142857142856,3.2857142857142856,7
sm432_2,0,11.0,9.539392014169456,11.0,10,0.0,0.0,10.0,1.0,3
sm511_1,1,0.6666666666666666,0.5773502691896258,0.33333333333333337,22,17.666666666666668,7.505553499465135,4.333333333333332,4.666666666666664,3
sm511_2,13,7.75,6.3966136874651625,5.25,0,5.75,11.5,5.75,0.5,4
sm521_1,1,1.5,1.7320508075688772,0.5,19,10.0,10.424330514074594,9.0,8.5,4
sm521_2,12,12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3
sm531_1,0,0.0,0.0,0.0,9,6.0,4.0,3.0,3.0,4
sm531_2,0,3.6666666666666665,4.926120853842978,3.6666666666666665,9,1.5,2.345207879911715,7.5,3.833333333333334,6
sm541_1,0,7.285714285714286,9.14174100330066,7.285714285714286,13,5.142857142857143,6.4142698058981855,7.857142857142857,0.5714285714285712,7
sm541_2,0,0.0,0.0,0.0,13,12.0,0.0,1.0,1.0,2
sm543_1,0,3.0,7.3484692283495345,3.0,0,0.0,0.0,0.0,3.0,6
sm543_2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5
sm611_1,0,0.5,0.7071067811865476,0.5,9,8.0,0.0,1.0,0.5,2
sm611_2,0,0.8,1.7888543819998322,0.8,9,6.4,3.5777087639996634,2.5999999999999996,1.7999999999999998,5
sm612_1,0,5.8,7.496665925596525,5.8,12,6.0,5.612486080160912,6.0,0.1999999999999993,5
sm612_2,0,0.8,1.788854381999832,0.8,12,4.8,6.610597552415364,7.2,6.4,5
