plan_id,true_goal,method,normalize_prior,act_temperature,timestep,is_judgment,action,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,lml_est,n_init_states,state_probs_1,state_probs_2,state_probs_3,state_probs_4,state_probs_5,state_probs_6,state_probs_7,state_probs_8,state_probs_9,state_probs_10,state_probs_11,state_probs_12,state_probs_13,state_probs_14,state_probs_15,state_probs_16,state_probs_17,state_probs_18,n_statements,statement_probs_1,statement_probs_2,statement_1,statement_2
1_1,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",0,false,(--),0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.0,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.49999999999999956,0.49999999999999983,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",1,false,(right human),0.04929330841308894,0.29363188947541546,0.3634429126360802,0.29363188947541546,0.29363188947541546,-0.6141678877618886,18,0.05167716537996307,0.05167716537996307,0.05167716537996307,0.05167716537996307,0.05167716537996307,0.05167716537996307,0.05167716537996307,0.06331233590674053,0.06331233590674053,0.05167716537996307,0.05167716537996307,0.06331233590674053,0.06331233590674053,0.05167716537996307,0.05167716537996307,0.06331233590674053,0.06331233590674053,0.05167716537996307,2,0.47974707847251347,0.5202529215274856,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",2,false,(right human),0.015385488419988335,0.29462435535780196,0.3953658008644079,0.294624355357802,0.294624355357802,-0.8044180107697181,18,0.04995880858296634,0.04995880858296634,0.049958808582966335,0.04995880858296634,0.04995880858296634,0.04995880858296634,0.04995880858296634,0.06674904950073399,0.06674904950073399,0.04995880858296634,0.04995880858296634,0.06674904950073399,0.06674904950073399,0.04995880858296634,0.04995880858296634,0.06674904950073399,0.06674904950073399,0.04995880858296634,2,0.47036010854051596,0.5296398914594838,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",3,true,(down human),0.007241873128606143,0.4685542881266181,0.05564955061815772,0.46855428812661815,0.46855428812661815,-1.4882146987860487,18,0.04424894764230042,0.04424894764230043,0.044248947642300425,0.044248947642300425,0.044248947642300425,0.04424894764230043,0.04424894764230042,0.07816877138206582,0.07816877138206582,0.04424894764230043,0.04424894764230042,0.07816877138206582,0.07816877138206582,0.04424894764230043,0.044248947642300425,0.07816877138206582,0.07816877138206582,0.04424894764230043,2,0.43716554679852704,0.5628344532014725,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",4,false,(down human),0.0029063062173659807,0.49206720727816333,0.0129592792263078,0.4920672072781634,0.4920672072781634,-1.6260042610270635,18,0.04286763962368734,0.04286763962368734,0.042867639623687344,0.04286763962368732,0.042867639623687344,0.04286763962368734,0.04286763962368734,0.08093138741929204,0.08093138741929201,0.04286763962368734,0.04286763962368734,0.08093138741929204,0.08093138741929203,0.04286763962368734,0.042867639623687344,0.08093138741929201,0.08093138741929204,0.04286763962368734,2,0.42863702733730036,0.5713629726626984,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_1,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",5,true,(down human),0.001462818901157778,0.49672292049494515,0.005091340108951713,0.4967229204949453,0.4967229204949453,-2.249995605012232,18,0.005307102966435015,0.005307102966435018,0.06883965666464419,0.06883965666464416,0.06883965666464419,0.06883965666464417,0.005307102966435015,0.07134238913618443,0.0713423891361844,0.005307102966435018,0.005307102966435015,0.07134238913618443,0.07134238913618442,0.005307102966435018,0.06883965666464419,0.13487494283439355,0.13487494283439358,0.06883965666464417,2,0.07904094908773322,0.9209590509122664,(believes player (not (exists (?k - key) (or (inside ?k box2) (inside ?k box3))))),(believes player (exists (?k - key) (and (or (iscolor ?k blue) (iscolor ?k red)) (or (inside ?k box2) (inside ?k box3)))))
1_2,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",0,false,(--),0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.0,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,2,0.4999999999999993,0.4999999999999993,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
1_2,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",1,false,(right human),0.04929330841308892,0.29363188947541546,0.3634429126360802,0.2936318894754154,0.2936318894754154,-0.6141678877618886,18,0.06331233590674053,0.04004199485318562,0.06331233590674053,0.04004199485318562,0.06331233590674051,0.04004199485318562,0.06331233590674053,0.06331233590674053,0.06331233590674053,0.04004199485318562,0.06331233590674053,0.06331233590674053,0.06331233590674053,0.04004199485318562,0.06331233590674053,0.06331233590674053,0.06331233590674053,0.04004199485318562,2,0.5463399163579203,0.5463399163579203,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
1_2,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",2,false,(right human),0.015385488419988349,0.294624355357802,0.3953658008644079,0.294624355357802,0.294624355357802,-0.8044180107697181,18,0.06674904950073399,0.03316856766519869,0.066749049500734,0.03316856766519869,0.06674904950073399,0.03316856766519869,0.06674904950073399,0.066749049500734,0.066749049500734,0.03316856766519869,0.06674904950073399,0.06674904950073399,0.06674904950073399,0.03316856766519869,0.066749049500734,0.06674904950073399,0.06674904950073399,0.03316856766519869,2,0.5656727150466391,0.5656727150466392,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
1_2,4,joint,true,"(Gen.InverseGamma(), (0.5, 1.0), 2, -5.0:0.25:5.0)",3,false,(right human),0.008008053794340478,0.06369971929644161,0.743177695676958,0.18511453123226038,0.18511453123226038,-1.5887825659951247,18,0.0680559653299764,0.049290848072773466,0.0680559653299764,0.049290848072773466,0.0680559653299764,0.049290848072773466,0.0680559653299764,0.04857000830229506,0.04857000830229506,0.049290848072773466,0.0680559653299764,0.04857000830229507,0.05306907807202576,0.049290848072773466,0.0680559653299764,0.04857000830229507,0.04857000830229507,0.049290848072773466,2,0.5338769001062788,0.5285773243528592,(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box1)))),(believes player (exists (?k - key) (and (iscolor ?k blue) (inside ?k box2))))
