level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation,bootstrap_sd,ci_lower,ci_upper
sm111_1,131,3,128,9,14.555555555555555,2.4612105878119324,9.88888888888889,19.558333333333334
sm112_1,125,47,78,9,13.88888888888889,4.509568577143698,5.888888888888889,22.88888888888889
sm631_2,31,26,5,4,7.75,2.908164086817636,2.5,13.0
sm321_3,29,16,13,4,7.25,3.7050507200763576,0.0,14.5
sm543_3,35,35,0,5,7.0,3.662729630801098,0.2,13.8
sm631_3,31,30,1,5,6.2,2.1144803207944562,2.2,10.0
sm321_1,29,3,26,5,5.8,1.7168933346957587,2.6,9.2
sm211_3,29,16,13,6,4.833333333333333,0.9239629241820478,2.8333333333333335,6.333333333333333
sm211_1,14,8,6,3,4.666666666666667,2.4530719529705802,0.0,10.0
sm351_3,22,5,17,5,4.4,1.242584007226479,3.0,7.2
sm351_2,15,0,15,4,3.75,0.5462603205778704,2.5,4.75
comprehension_check,0,0,0,9,0.0,0.0,0.0,0.0
experiment,0,0,0,9,0.0,0.0,0.0,0.0
s111_1,0,0,0,9,0.0,0.0,0.0,0.0
sm543_1,0,0,0,4,0.0,0.0,0.0,0.0
