level,model_agent2,human_agent2_mean,human_agent2_sd,model_agent3,human_agent3_mean,human_agent3_sd,n_participants
sm211_1,1,2.6666666666666665,2.3094010767585034,5,2.0,3.4641016151377544,3
sm211_3,6,2.6666666666666665,2.581988897471611,0,2.1666666666666665,2.9944392908634274,6
sm321_1,0,0.6,0.8944271909999157,13,5.2,4.969909455915671,5
sm321_3,0,4.0,8.0,13,3.25,5.852349955359813,4
sm351_2,12,0.0,0.0,1,3.75,1.2583057392117916,4
sm351_3,0,1.0,2.23606797749979,3,3.4,0.8944271909999159,5
sm543_1,0,0.0,0.0,0,0.0,0.0,4
sm543_3,0,7.0,9.137833441248533,0,0.0,0.0,5
sm631_2,9,6.5,7.895146188218008,1,1.25,1.8929694486000912,4
sm631_3,0,6.0,5.477225575051661,10,0.2,0.44721359549995804,5
