participant_id,session_id,total_steps_remaining,level_scores,prolific_id,bonus_payment
u1770049899541,u1770049899541,-73.0,"{'sm221_1': -34.0, 'sm311_2': 3.0, 'sm371_2': 22.0, 'sm431_1': -52.0, 'sm511_2': -9.0, 'sm521_1': -22.0, 'sm531_2': -6.0, 'sm541_1': -4.0, 'sm543_2': 11.0, 'sm611_2': 18.0}",68c96774c5a755579634545f,0.0
u1770058433847,u1770058433847,122.0,"{'sm311_1': 14.0, 'sm321_1': 16.0, 'sm331_2': -26.0, 'sm351_2': 17.0, 'sm411_1': 12.0, 'sm421_1': 18.0, 'sm432_1': 17.0, 'sm531_1': 22.0, 'sm541_1': 18.0, 'sm612_1': 14.0}",61033627c32742424aeaaac1,1.0
u1770053417077,u1770053417077,53.0,"{'sm211_2': 19.0, 'sm311_1': -14.0, 'sm321_2': 16.0, 'sm351_1': 11.0, 'sm361_2': 18.0, 'sm421_2': -18.0, 'sm431_2': 14.0, 'sm531_1': 23.0, 'sm541_2': -35.0, 'sm611_1': 19.0}",694203dedb9fa28fde0a812a,1.0
u1770058556402,u1770058556402,83.0,"{'sm211_2': -3.0, 'sm311_1': 12.0, 'sm321_2': 3.0, 'sm351_1': 3.0, 'sm361_2': 17.0, 'sm421_2': 8.0, 'sm431_2': 2.0, 'sm531_1': 23.0, 'sm541_2': -6.0, 'sm611_1': 24.0}",633c74ad6178784ed5b52104,1.0
u1770060387016,u1770060387016,104.0,"{'sm221_1': -4.0, 'sm311_2': 19.0, 'sm371_2': 11.0, 'sm431_1': 15.0, 'sm511_2': 9.0, 'sm521_1': 0.0, 'sm531_2': 16.0, 'sm541_1': 12.0, 'sm543_2': 10.0, 'sm611_2': 16.0}",570d30d942a1db000fc4cf87,1.0
u1770051562325,u1770051562325,154.0,"{'sm311_1': 10.0, 'sm321_1': 16.0, 'sm331_2': 17.0, 'sm351_2': 17.0, 'sm411_1': 12.0, 'sm421_1': 18.0, 'sm432_1': 17.0, 'sm531_1': 18.0, 'sm541_1': 18.0, 'sm612_1': 11.0}",6400df45e639d203b8518cad,1.0
u1770041510906,u1770041510906,95.0,"{'sm221_1': -10.0, 'sm311_2': 19.0, 'sm371_2': -4.0, 'sm431_1': 15.0, 'sm511_2': 9.0, 'sm521_1': 6.0, 'sm531_2': 17.0, 'sm541_1': 19.0, 'sm543_2': 9.0, 'sm611_2': 15.0}",66a8f82143da40a6b126975e,1.0
u1770039852651,u1770039852651,125.0,"{'sm311_1': 14.0, 'sm321_1': 16.0, 'sm331_2': 16.0, 'sm351_2': 16.0, 'sm411_1': 12.0, 'sm421_1': -7.0, 'sm432_1': 17.0, 'sm531_1': 18.0, 'sm541_1': 12.0, 'sm612_1': 11.0}",676fec8c1265f76e247e76e7,1.0
u1770058516814,u1770058516814,135.0,"{'sm321_1': 16.0, 'sm331_1': 18.0, 'sm341_2': 19.0, 'sm371_1': 2.0, 'sm411_1': 12.0, 'sm432_1': 17.0, 'sm531_2': 17.0, 'sm541_1': 19.0, 'sm543_1': -5.0, 'sm612_1': 20.0}",58cc6e1293dac30001d4abc6,1.0
u1770058682997,u1770058682997,126.0,"{'sm211_1': 19.0, 'sm221_2': 15.0, 'sm331_2': 18.0, 'sm341_1': 14.0, 'sm361_1': 11.0, 'sm371_1': 8.0, 'sm432_2': 17.0, 'sm511_1': -1.0, 'sm521_2': 16.0, 'sm611_2': 9.0}",697a4d68f203cc319b7a25fc,1.0
