Session ID,u1761698118656
Completed At,2025-10-29 00:35:48.751Z
Created At,2025-10-29 00:35:18.656Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-29 00:35:18.748Z,LEVEL_START,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-29 00:35:18.805Z,LEVEL_START,,,,,,,,,,

Level: sm111_true
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-29 00:35:25.241Z,LEVEL_START,,,,,,,,,,

Level: sm211_true
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-29 00:35:28.512Z,LEVEL_START,,,,,,,,,,

