Level   H_mean  H_med     FM     SM    RNM  Naive   n
------  ------  -----  -----  -----  -----  -----  --
s221_1   126.3  119.0  111.0  112.0  126.0  126.0  20
s221_2   148.2  145.5  146.0  146.0  169.0  169.0  20
s311_1   127.2  114.0  114.0  115.0  123.0  123.0  18
s311_2   157.3  157.0  163.0  163.0  164.0  164.0  22
s321_1   130.0  115.5  113.0  114.0  123.0  123.0  22
s321_2   195.4  182.0  181.0  181.0  189.0  189.0  21
s331_1   122.1  105.0  103.0  107.0  108.0  108.0  29
s331_2   116.5  107.0  103.0  108.0  110.0  110.0  22
s332_1    97.2   95.0   96.0   97.0   98.0   98.0  21
s332_2   113.0   94.5  110.0  110.0  118.0  118.0  22
s341_1   121.3  119.0  114.0  115.0  120.0  120.0  22
s341_2   137.5  127.0  128.0  128.0  132.0  132.0  29
s342_1   124.6  113.0  113.0  114.0  114.0  114.0  23
s342_2   127.4  125.0  122.0  122.0  127.0  127.0  19
s351_1   105.2   99.0   99.0  100.0  103.0  103.0  23
s351_2   119.4  118.0  119.0  119.0  126.0  126.0  21
s361_1   132.1  120.0  116.0  117.0  121.0  121.0  23
s361_2   150.2  152.0  128.0  128.0  133.0  133.0  19
s371_1    60.1   63.0   61.0   68.0   61.0   68.0  24
s371_2    61.3   63.0   61.0   69.0   72.0   72.0  20
s411_1   135.8  116.0  117.0  118.0  123.0  123.0  19
s411_2   170.4  171.5  180.0  180.0  181.0  181.0  22
s421_1   126.5  115.0  115.0  116.0  123.0  123.0  18
s421_2   184.6  213.5  216.0  216.0  224.0  224.0  22
s431_1   138.9  128.0  128.0  129.0  132.0  132.0  21
s431_2   183.5  163.0  155.0  156.0  164.0  164.0  23
s432_1   140.3  128.5  118.0  119.0  122.0  122.0  18
s432_2   163.4  143.5  139.0  139.0  142.0  142.0  22
s441_1    88.0   74.0   75.0   76.0   79.0   79.0  23
s441_2   112.5  108.0  112.0  112.0  118.0  118.0  19
s442_1    86.7   73.0   74.0   75.0   79.0   79.0  19
s442_2   133.7  132.0  121.0  121.0  124.0  124.0  21
s511_1   125.4  120.0  121.0  122.0  123.0  123.0  19
s511_2   181.8  177.0  180.0  180.0  181.0  181.0  31
s521_1   182.6  148.0  117.0  118.0  123.0  123.0  23
s521_2   205.2  215.0  216.0  216.0  224.0  224.0  19
s531_1    87.2   84.0   85.0   86.0   87.0   87.0  21
s531_2   130.9  106.0   81.0   81.0   89.0   89.0  23
s532_1   100.1   97.0   96.0   97.0   98.0   98.0  19
s532_2   131.3  114.0   90.0   90.0   96.0   96.0  23
s541_1   116.4   99.0   96.0   97.0  100.0  100.0  20
s541_2   133.0  109.0  104.0  104.0  108.0  108.0  22
s542_1   111.5   99.0  100.0  101.0  101.0  101.0  20
s542_2   119.2  109.0  110.0  110.0  122.0  122.0  18
s543_1    68.0   69.0   67.0   74.0   67.0   74.0  29
s543_2    67.6   69.0   67.0   77.0   81.0   81.0  20
s544_1    47.6   43.5   41.0   55.0   56.0   56.0  22
s544_2    52.8   54.0   41.0   51.0   55.0   55.0  24
