participant_id,n_levels,agent2_r,agent3_r,levels
u1769456536374.csv,5,0.0857492925712544,,"sm211_2, sm221_2, sm431_2, sm543_2, sm611_2"
u1769456919576.csv,5,0.9861168645694257,0.9982214911705036,"sm211_1, sm221_2, sm431_1, sm543_1, sm611_1"
u1769457078999.csv,5,-0.4014775342734831,0.6766461178910687,"sm211_2, sm221_1, sm431_2, sm543_2, sm611_2"
u1769457262485.csv,5,,,"sm211_1, sm221_1, sm431_2, sm543_1, sm611_1"
u1769457379562.csv,5,0.45883146774112354,0.9986139979479094,"sm211_1, sm221_1, sm431_1, sm543_2, sm611_2"
u1769457654370.csv,5,,,"sm211_2, sm221_2, sm431_2, sm543_2, sm611_1"
u1769457726761.csv,5,,,"sm211_2, sm221_1, sm431_2, sm543_1, sm611_1"
u1769457904317.csv,5,,0.34547576161707566,"sm211_1, sm221_1, sm431_1, sm543_1, sm611_1"
u1769459799614.csv,5,,,"sm211_1, sm221_2, sm431_1, sm543_1, sm611_1"
u1769466755696.csv,5,0.7248398744687278,-0.30912441699033694,"sm211_2, sm221_1, sm431_2, sm543_2, sm611_2"
u1769532494142.csv,5,-0.3194427538892032,0.34204109133928334,"sm211_1, sm221_1, sm431_1, sm543_2, sm611_2"
u1769532724267.csv,5,0.9861168645694258,,"sm211_2, sm221_2, sm431_2, sm543_2, sm611_2"
u1769532992194.csv,5,0.45883146774112354,0.9968239595056014,"sm211_1, sm221_1, sm431_2, sm543_1, sm611_1"
u1769533153884.csv,5,0.9825421192082846,,"sm211_1, sm221_1, sm431_1, sm543_2, sm611_2"
u1769533626616.csv,5,-0.14418169514902385,0.28398091712353246,"sm211_1, sm221_2, sm431_1, sm543_2, sm611_2"
u1769533882280.csv,5,,0.4347552147751578,"sm211_2, sm221_2, sm431_2, sm543_2, sm611_2"
u1769534466278.csv,5,0.9861168645694257,0.9982214911705036,"sm211_1, sm221_2, sm431_1, sm543_1, sm611_1"
u1769534483334.csv,5,,0.34547576161707566,"sm211_2, sm221_1, sm431_2, sm543_2, sm611_2"
u1769535211874.csv,5,-0.39773581672299296,0.31544663407202234,"sm211_1, sm221_1, sm431_2, sm543_1, sm611_1"
