Level ID | Z_Goal1 | Z_Goal2 | Z_Goal1_Type | Z_Goal2_Type | X_Goal1 | X_Goal2 | X_Goal1_Type | X_Goal2_Type
----------------------------------------------------------------------------------------------------
s211 | 2 | 1 | B | A | 1 | 3 | A | C
s221 | 2 | 3 | B | C | 3 | 1 | C | A
s311 | 2 | 1 | B | A | 1 | 3 | A | C
s321 | 2 | 3 | B | C | 3 | 1 | C | A
s331 | 1 | 3 | A | C | 3 | 2 | C | B
s332 | 1 | 3 | A | C | 3 | 2 | C | B
s341 | 2 | 1 | B | A | 3 | 2 | C | B
s342 | 2 | 1 | B | A | 3 | 2 | C | B
s351 | 2 | 1 | B | A | 1 | 3 | A | C
s361 | 3 | 1 | C | A | 1 | 3 | A | C
s371 | 1 | 2 | A | B | 3 | 1 | C | A
s411 | 2 | 1 | B | A | 1 | 3 | A | C
s421 | 2 | 3 | B | C | 3 | 1 | C | A
s431 | 1 | 3 | A | C | 3 | 2 | C | B
s432 | 1 | 3 | A | C | 3 | 2 | C | B
s441 | 3 | 2 | C | B | 1 | 3 | A | C
s442 | 3 | 2 | C | B | 1 | 3 | A | C
s511 | 2 | 1 | B | A | 1 | 3 | A | C
s521 | 2 | 3 | B | C | 3 | 1 | C | A
s531 | 3 | 1 | C | A | 1 | 2 | A | B
s532 | 3 | 1 | C | A | 1 | 2 | A | B
s541 | 1 | 3 | A | C | 3 | 1 | C | A
s542 | 1 | 2 | A | B | 3 | 1 | C | A
s543 | 1 | 3 | A | C | 2 | 1 | B | A
s544 | 1 | 3 | A | C | 3 | 1 | C | A
