participant_id,session_id,total_steps_remaining,level_scores,prolific_id,bonus_payment
u1770041510906,u1770041510906,95.0,"{'sm221_1': -10.0, 'sm311_2': 19.0, 'sm371_2': -4.0, 'sm431_1': 15.0, 'sm511_2': 9.0, 'sm521_1': 6.0, 'sm531_2': 17.0, 'sm541_1': 19.0, 'sm543_2': 9.0, 'sm611_2': 15.0}",66a8f82143da40a6b126975e,1.0
u1770039852651,u1770039852651,125.0,"{'sm311_1': 14.0, 'sm321_1': 16.0, 'sm331_2': 16.0, 'sm351_2': 16.0, 'sm411_1': 12.0, 'sm421_1': -7.0, 'sm432_1': 17.0, 'sm531_1': 18.0, 'sm541_1': 12.0, 'sm612_1': 11.0}",676fec8c1265f76e247e76e7,1.0
u1770039466431,u1770039466431,175.0,"{'sm331_2': 16.0, 'sm341_1': 22.0, 'sm351_2': 15.0, 'sm371_2': 11.0, 'sm411_2': 21.0, 'sm421_1': 17.0, 'sm431_1': 18.0, 'sm531_1': 23.0, 'sm543_2': 22.0, 'sm612_2': 10.0}",66f46179fa81f408915abaaa,1.0
u1770045842219,u1770045842219,50.0,"{'sm311_1': -35.0, 'sm321_1': 19.0, 'sm331_2': 23.0, 'sm351_2': 26.0, 'sm411_1': -12.0, 'sm421_1': 26.0, 'sm432_1': -46.0, 'sm531_1': 26.0, 'sm541_1': 1.0, 'sm612_1': 22.0}",67e3f1025293c35616d6e544,1.0
u1770041073614,u1770041073614,114.0,"{'sm331_2': -12.0, 'sm341_1': -20.0, 'sm351_2': 15.0, 'sm371_2': 22.0, 'sm411_2': 4.0, 'sm421_1': 18.0, 'sm431_1': 18.0, 'sm531_1': 26.0, 'sm543_2': 22.0, 'sm612_2': 21.0}",678006318afafe2d811d0277,1.0
u1770039960079,u1770039960079,171.0,"{'sm321_1': 16.0, 'sm331_1': 18.0, 'sm341_2': 19.0, 'sm371_1': 22.0, 'sm411_1': 12.0, 'sm432_1': 17.0, 'sm531_2': 17.0, 'sm541_1': 19.0, 'sm543_1': 11.0, 'sm612_1': 20.0}",55ed87f0748092000baa9a0b,1.0
u1770039756254,u1770039756254,140.0,"{'sm221_1': 14.0, 'sm311_2': 19.0, 'sm321_2': 14.0, 'sm331_1': 16.0, 'sm371_2': 11.0, 'sm411_2': 10.0, 'sm431_1': 18.0, 'sm531_2': 17.0, 'sm543_2': 11.0, 'sm612_2': 10.0}",656d24ca2d90244628b2960e,1.0
u1770039618931,u1770039618931,-135.0,"{'sm221_2': 1.0, 'sm341_1': -104.0, 'sm361_2': 18.0, 'sm371_1': 22.0, 'sm411_1': 11.0, 'sm432_2': 11.0, 'sm511_2': -23.0, 'sm521_1': -87.0, 'sm541_2': -4.0, 'sm612_1': 20.0}",696a97da7648c7e49fa8eb36,0.0
u1770041474434,u1770041474434,-551.0,"{'sm211_1': -96.0, 'sm221_2': -140.0, 'sm331_2': -133.0, 'sm341_1': -45.0, 'sm361_1': -77.0, 'sm371_1': 11.0, 'sm432_2': -38.0, 'sm511_1': -11.0, 'sm521_2': -25.0, 'sm611_2': 3.0}",67edb75b0744561f1cf6ff9d,0.0
u1770039625849,u1770039625849,-95.0,"{'sm211_2': 22.0, 'sm341_2': 12.0, 'sm351_1': 17.0, 'sm361_1': -165.0, 'sm421_2': -13.0, 'sm431_2': -6.0, 'sm511_1': -13.0, 'sm521_2': 16.0, 'sm543_1': 11.0, 'sm611_1': 24.0}",612ea863f9f13cef59a0dd99,0.0
u1770042480785,u1770042480785,67.0,"{'sm211_2': 19.0, 'sm341_2': -9.0, 'sm351_1': 17.0, 'sm361_1': 11.0, 'sm421_2': -30.0, 'sm431_2': 15.0, 'sm511_1': -1.0, 'sm521_2': 7.0, 'sm543_1': 22.0, 'sm611_1': 16.0}",695bfaac39d75f3dd960b53f,1.0
u1770044434109,u1770044434109,162.0,"{'sm221_1': 13.0, 'sm311_2': 19.0, 'sm321_2': 16.0, 'sm331_1': 17.0, 'sm371_2': 11.0, 'sm411_2': 21.0, 'sm431_1': 18.0, 'sm531_2': 26.0, 'sm543_2': 11.0, 'sm612_2': 10.0}",58a5cf959e040a0001399f07,1.0
u1770039549747,u1770039549747,170.0,"{'sm211_1': 19.0, 'sm321_1': 16.0, 'sm331_1': 18.0, 'sm341_2': 18.0, 'sm351_2': 17.0, 'sm411_2': 15.0, 'sm421_1': 18.0, 'sm432_1': 17.0, 'sm543_1': 22.0, 'sm612_2': 10.0}",5f0d2ad60ad0d6730c380b05,1.0
u1770039523788,u1770039523788,0.0,"{'sm221_1': -7.0, 'sm311_2': -12.0, 'sm371_2': 11.0, 'sm431_1': 2.0, 'sm511_2': -23.0, 'sm521_1': -18.0, 'sm531_2': 26.0, 'sm541_1': -16.0, 'sm543_2': 11.0, 'sm611_2': 26.0}",65ff0f25be498d4a99159934,0.0
u1770041801902,u1770041801902,153.0,"{'sm211_1': 19.0, 'sm321_1': 16.0, 'sm331_1': 9.0, 'sm341_2': 18.0, 'sm351_2': 16.0, 'sm411_2': 21.0, 'sm421_1': 18.0, 'sm432_1': 17.0, 'sm543_1': 11.0, 'sm612_2': 8.0}",675c89cc4e1a6bad637f454f,1.0
