Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e4473eff18085e39decd3f,661b3299bf19db77d7412b86,APPROVED,Not Applicable,2025-10-06T22:48:37.726000Z,2025-10-06T23:05:39.261000Z,2025-10-08T04:13:25.027000Z,2025-10-06T23:05:39.692607Z,1022.0,C6DFNH2C,2467,English,50,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68e447432f63a13b603baa0d,6670e05a65d32df6fa3e7560,APPROVED,Not Applicable,2025-10-06T22:49:10.655000Z,2025-10-06T23:09:35.428000Z,2025-10-08T04:13:25.316000Z,2025-10-06T23:09:35.852155Z,1225.0,C6DFNH2C,4923,"English, Spanish",57,Male,White,"Venezuela, Bolivarian Republic of",United States,United States,Spanish,No,Full-Time
68e44743429bec6acc2cd097,62e19208352cd518d7b2f085,APPROVED,Not Applicable,2025-10-06T22:48:35.895000Z,2025-10-06T23:06:19.075000Z,2025-10-08T04:13:25.599000Z,2025-10-06T23:06:19.485077Z,1064.0,C6DFNH2C,3053,English,36,Male,White,United States,United States,United States,English,No,Full-Time
68e4477be16993d32fffd44f,68114b50b766b8f5b3b6cc8e,APPROVED,Not Applicable,2025-10-06T22:49:52.985000Z,2025-10-06T23:08:49.638000Z,2025-10-08T04:13:25.887000Z,2025-10-06T23:08:50.042862Z,1137.0,C6DFNH2C,2201,English,54,Male,White,United States,United States,United States,English,No,Part-Time
68e447b7f198f4e65f529e6e,6646cdbd7a8e4d39556e459b,APPROVED,Not Applicable,2025-10-06T22:51:02.064000Z,2025-10-06T23:07:53.361000Z,2025-10-08T04:13:26.203000Z,2025-10-06T23:07:53.764779Z,1012.0,C6DFNH2C,3838,"English, Spanish, French",36,Female,White,United States,United States,United States,English,No,Full-Time
68e448074753d5515e3bacef,5e402dcd7b260d000a7b69fe,APPROVED,Not Applicable,2025-10-06T22:51:56.306000Z,2025-10-06T23:07:18.109000Z,2025-10-08T04:13:26.468000Z,2025-10-06T23:07:19.808198Z,922.0,C6DFNH2C,7430,English,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e4482c3c58066e8bff8e61,60ac66a8e1bf5a1c51fa864c,APPROVED,Not Applicable,2025-10-06T22:52:28.846000Z,2025-10-06T23:13:18.599000Z,2025-10-08T04:13:26.737000Z,2025-10-06T23:13:18.983313Z,1250.0,C6DFNH2C,5048,"English, Spanish",58,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
68e4483e6fd8ff085527d4fb,607cbf385d3202721e3f719f,APPROVED,Not Applicable,2025-10-06T22:53:22.600000Z,2025-10-06T23:17:31.784000Z,2025-10-08T04:13:26.994000Z,2025-10-06T23:17:33.515730Z,1450.0,C6DFNH2C,9269,English,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e4484374c5de4a33d34750,666204d4cbd0992fc4079cb9,APPROVED,Not Applicable,2025-10-06T22:53:46.576000Z,2025-10-06T23:15:45.303000Z,2025-10-08T04:13:27.290000Z,2025-10-06T23:15:45.730149Z,1319.0,C6DFNH2C,1457,English,47,Female,White,United States,United States,United States,English,No,Full-Time
68e448ac6aef36eda8c6c102,630981b0f861918e8174a43e,APPROVED,Not Applicable,2025-10-06T22:56:06.950000Z,2025-10-06T23:07:32.972000Z,2025-10-08T04:13:27.588000Z,2025-10-06T23:07:34.573478Z,687.0,C6DFNH2C,7271,English,43,Male,White,United States,United States,United States,English,No,Full-Time
68e448bff17ca079fa5ac7fc,660604f1a9c44af2909516f6,APPROVED,Not Applicable,2025-10-06T22:54:59.552000Z,2025-10-06T23:08:44.415000Z,2025-10-08T04:13:27.881000Z,2025-10-06T23:08:45.509481Z,825.0,C6DFNH2C,3088,"English, Khmer",29,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e4491cd18598596e878c79,66a02d45a7db35d93c9f6a81,APPROVED,Not Applicable,2025-10-06T22:56:32.028000Z,2025-10-06T23:10:09.965000Z,2025-10-08T04:13:28.173000Z,2025-10-06T23:10:11.615515Z,818.0,C6DFNH2C,4283,English,26,Male,White,United States,United States,United States,English,Yes,Full-Time
68e449204bd00aa775ceef3f,5fb7dd473afbb1033b491811,APPROVED,Not Applicable,2025-10-06T22:56:43.016000Z,2025-10-06T23:14:21.713000Z,2025-10-08T04:13:28.463000Z,2025-10-06T23:14:23.122063Z,1059.0,C6DFNH2C,4803,English,48,Male,White,United States,United States,United States,English,No,Full-Time
68e4492713ef7234cbb5efa9,6657b0d02e5dfa6c2663a647,APPROVED,Not Applicable,2025-10-06T22:57:35.905000Z,2025-10-06T23:13:12.671000Z,2025-10-08T04:13:28.736000Z,2025-10-06T23:13:14.658968Z,937.0,C6DFNH2C,3373,English,38,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68e449aa32e65511f51638c8,668f18516826b7151ab685b3,APPROVED,Not Applicable,2025-10-06T23:08:18.780000Z,2025-10-06T23:23:59.259000Z,2025-10-08T04:13:29.040000Z,2025-10-06T23:24:01.053039Z,941.0,C6DFNH2C,1903,English,53,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
