participant_code,plan_id,step,timestep,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,statement_ratings_1,statement_ratings_2,statement_probs_1,statement_probs_2,reward,goal_reward,time_spent
1705958823912,2_1,1,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,5.0,5.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,,19.068
1705958823912,2_1,2,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,7.0,1.0,1.0,0.0,0.3333333333333333,,29.312
1705958823912,3_1,1,4,0.0,0.0,1.0,0.0,1.0,6.0,6.0,0.8333333333333334,0.8333333333333334,1.0,,27.827
1705958823912,3_1,2,6,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,,35.355
1705958823912,4_1,1,6,0.0,0.0,1.0,0.0,1.0,6.0,6.0,0.8333333333333334,0.8333333333333334,1.0,,18.367
1705958823912,4_1,2,9,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,29.241
1705958823912,5_1,1,4,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.0,6.0,0.16666666666666666,0.8333333333333334,0.3333333333333333,,35.836
1705958823912,5_1,2,8,0.0,0.5,0.0,0.5,0.5,1.0,7.0,0.0,1.0,0.5,,51.004
1705958823912,6_1,1,3,0.25,0.25,0.25,0.25,0.25,4.0,4.0,0.5,0.5,0.25,,16.363
1705958823912,6_1,2,7,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,,28.317
1705958823912,7_1,1,4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.0,0.8333333333333334,0.3333333333333333,,19.176
1705958823912,7_1,2,7,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,7.0,0.0,1.0,0.3333333333333333,,35.662
1705958823912,8_1,1,8,0.0,0.5,0.5,0.0,0.0,1.0,4.0,0.0,0.5,0.0,,21.105
1705958823912,8_1,2,18,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,,40.695
1705958823912,8_1,3,25,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,,49.097
1705958823912,9_1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,6.0,1.0,0.8333333333333334,0.0,0.3333333333333333,,18.148
1705958823912,9_1,2,9,0.0,0.5,0.5,0.0,0.5,7.0,1.0,1.0,0.0,0.5,,29.437
