participant_id,session_id,total_steps_remaining,level_scores,prolific_id,bonus_payment
u1769717387246,u1769717387246,158.0,"{'sm211_1': 31.0, 'sm321_1': 31.0, 'sm331_1': 27.0, 'sm341_2': -9.0, 'sm351_2': 31.0, 'sm411_2': 31.0, 'sm421_1': -6.0, 'sm432_1': 25.0, 'sm543_1': 16.0, 'sm612_2': -19.0}",667c5ac2e2bd1c0e9a4343bc,1.0
u1769715123086,u1769715123086,152.0,"{'sm311_1': -12.0, 'sm321_1': 22.0, 'sm331_2': 16.0, 'sm351_2': 22.0, 'sm411_1': 18.0, 'sm421_1': 17.0, 'sm432_1': 20.0, 'sm531_1': 23.0, 'sm541_1': 13.0, 'sm612_1': 13.0}",695bcd773894067ba8c01741,1.0
u1769714803098,u1769714803098,-134.0,"{'sm221_1': 20.0, 'sm311_2': -28.0, 'sm321_2': -22.0, 'sm331_1': -97.0, 'sm371_2': 16.0, 'sm411_2': -26.0, 'sm431_1': 18.0, 'sm531_2': -4.0, 'sm543_2': 27.0, 'sm612_2': -38.0}",606cf604adbb6982bb382881,0.0
u1769713777399,u1769713777399,148.0,"{'sm331_2': 27.0, 'sm341_1': 25.0, 'sm351_2': 4.0, 'sm371_2': 10.0, 'sm411_2': 31.0, 'sm421_1': -12.0, 'sm431_1': 29.0, 'sm531_1': 31.0, 'sm543_2': 27.0, 'sm612_2': -24.0}",67673cda94b4d0cf1a6a7382,1.0
u1769713897328,u1769713897328,201.0,"{'sm211_2': 26.0, 'sm311_1': 23.0, 'sm321_2': 21.0, 'sm351_1': 21.0, 'sm361_2': 21.0, 'sm421_2': 9.0, 'sm431_2': 21.0, 'sm531_1': 23.0, 'sm541_2': 17.0, 'sm611_1': 19.0}",63c047ef36e1348b19bb8010,1.0
u1769713059748,u1769713059748,89.0,"{'sm221_1': 18.0, 'sm311_2': -3.0, 'sm371_2': 16.0, 'sm431_1': 23.0, 'sm511_2': 14.0, 'sm521_1': -22.0, 'sm531_2': -9.0, 'sm541_1': 17.0, 'sm543_2': 16.0, 'sm611_2': 19.0}",695ba863ce3964f9923c69ee,1.0
u1769714746052,u1769714746052,167.0,"{'sm211_2': 25.0, 'sm341_2': 20.0, 'sm351_1': 21.0, 'sm361_1': 20.0, 'sm421_2': 6.0, 'sm431_2': 23.0, 'sm511_1': -2.0, 'sm521_2': 15.0, 'sm543_1': 21.0, 'sm611_1': 18.0}",66200b032829f40f3664afdf,1.0
u1769713219723,u1769713219723,129.0,"{'sm221_2': 25.0, 'sm341_1': 20.0, 'sm361_2': 21.0, 'sm371_1': 16.0, 'sm411_1': 18.0, 'sm432_2': -9.0, 'sm511_2': -2.0, 'sm521_1': 8.0, 'sm541_2': 17.0, 'sm612_1': 15.0}",5b98d9362cca9c0001de161f,1.0
u1769715727004,u1769715727004,85.0,"{'sm321_1': 13.0, 'sm331_1': -28.0, 'sm341_2': -15.0, 'sm371_1': 16.0, 'sm411_1': 12.0, 'sm432_1': 24.0, 'sm531_2': 25.0, 'sm541_1': 10.0, 'sm543_1': 9.0, 'sm612_1': 19.0}",66e046b11e9e1bd327a5c240,1.0
u1769713424200,u1769713424200,153.0,"{'sm311_1': 2.0, 'sm321_1': 18.0, 'sm331_2': 11.0, 'sm351_2': 21.0, 'sm411_1': 18.0, 'sm421_1': 17.0, 'sm432_1': 21.0, 'sm531_1': 23.0, 'sm541_1': 6.0, 'sm612_1': 16.0}",6965563783d18ca4d9b7b722,1.0
