Session ID,u1760984956196
Completed At,2025-10-20 18:29:46.294Z
Created At,2025-10-20 18:29:16.196Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:29:29.645Z,LEVEL_START,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:29:16.291Z,LEVEL_START,,,,,,,,,,
2025-10-20 18:29:16.337Z,LEVEL_START,,,,,,,,,,

Level: s112
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 18:29:38.978Z,LEVEL_START,,,,,,,,,,

