Level ID | Goal1 | Goal2 | Goal1_Type | Goal2_Type
------------------------------------------------------------
s211 | 2 | 1 | B | A
s221 | 1 | 3 | A | C
s311 | 3 | 1 | C | A
s321 | 1 | 3 | A | C
s331 | 1 | 3 | A | C
s332 | 1 | 3 | A | C
s341 | 2 | 1 | B | A
s342 | 2 | 1 | B | A
s351 | 2 | 1 | B | A
s361 | 3 | 1 | C | A
s371 | 1 | 2 | A | B
s411 | 2 | 1 | B | A
s421 | 1 | 3 | A | C
s431 | 1 | 2 | A | B
s432 | 1 | 3 | A | C
s441 | 3 | 2 | C | B
s442 | 3 | 2 | C | B
s511 | 2 | 1 | B | A
s521 | 2 | 3 | B | C
s531 | 3 | 1 | C | A
s532 | 3 | 1 | C | A
s541 | 1 | 3 | A | C
s542 | 1 | 2 | A | B
s543 | 1 | 3 | A | C
s544 | 1 | 3 | A | C
