experiment,model,n_matched_levels,mean_diff_human_minus_model,t_statistic,p_value
exp1,Rational Mentalizing (Full Model),20,11.828539396427328,1.5309402730747697,0.14226461928578799
exp1,Social Mentalizing,20,11.82853939642733,1.5715982625747473,0.13254816909285694
exp1,Rational Non-Mentalizing,20,4.878539396427329,0.6488553524972444,0.5241979553992152
exp1,Naive Observer,20,4.978539396427329,0.6612060450746524,0.516418752664688
exp2,Rational Mentalizing (Full Model),48,4.696812494928681,1.2722753352413536,0.20953398736304504
exp2,Social Mentalizing,48,3.2593124949286807,0.8827320070304714,0.38187383951122766
exp2,Rational Non-Mentalizing,48,-4.011520838404653,-1.0637161813503593,0.2928920562110776
exp2,Naive Observer,48,-4.407354171737986,-1.1732552555759537,0.24660518287579106
exp3,Rational Mentalizing (Full Model),40,14.793194760180853,3.1138712006181715,0.003452788030631619
exp3,Social Mentalizing,40,10.968194760180854,2.316805277799701,0.025856482483352466
exp3,Rational Non-Mentalizing,40,47.96819476018085,5.954795827226053,5.984615068981185e-07
exp3,Naive Observer,40,30.918194760180853,3.7349878942658603,0.0005994264070579469
exp4,Rational Mentalizing (Full Model),40,14.612504019358434,4.24456588917489,0.0001309116300254977
exp4,Social Mentalizing,40,6.062504019358434,1.654088655734835,0.10613732082379142
exp4,Rational Non-Mentalizing,40,11.687504019358434,2.2655704603286533,0.029107424106319373
exp4,Naive Observer,40,-4.862495980641566,-1.2260021267715897,0.22754945807140414
