participant_id,n_levels,agent2_r,agent3_r,levels
u1769204942557.csv,5,-0.2682089797869674,-0.44164062271091287,"sm211_3, sm321_1, sm351_3, sm543_3, sm631_3"
u1769205172598.csv,5,-0.3506000765388747,-0.4765808824737225,"sm211_1, sm321_3, sm351_2, sm543_1, sm631_3"
u1769205231966.csv,5,0.3952847075210474,0.931049037500723,"sm211_3, sm321_1, sm351_3, sm543_3, sm631_2"
u1769205287362.csv,5,-0.02517685920346125,0.6800340025502124,"sm211_3, sm321_1, sm351_3, sm543_3, sm631_2"
u1769205800607.csv,5,,-0.4765808824737225,"sm211_1, sm321_3, sm351_2, sm543_1, sm631_3"
u1769206302184.csv,5,0.2326894604977586,0.7005566680800417,"sm211_3, sm321_3, sm351_3, sm543_3, sm631_3"
u1769206411989.csv,5,-0.5508226327552436,-0.3446793862567717,"sm211_1, sm321_1, sm351_2, sm543_1, sm631_2"
u1769206431451.csv,5,-0.15309310892394867,0.051434449987363975,"sm211_3, sm321_3, sm351_2, sm543_1, sm631_2"
u1769207241014.csv,5,0.25,0.7005566680800417,"sm211_3, sm321_1, sm351_3, sm543_3, sm631_3"
u1769207952412.csv,5,-0.2756614021459906,-0.3786683684902874,"sm211_1, sm321_3, sm351_2, sm543_1, sm631_3"
u1769265424117.csv,5,0.7905694150420948,-0.44704254774961905,"sm211_3, sm321_1, sm351_3, sm543_3, sm631_2"
u1769265727425.csv,5,-0.3547618098846351,-0.07943014707895377,"sm211_1, sm321_3, sm351_2, sm543_1, sm631_3"
